
running 123 tests
test pipeline::builder::tests::test_apply_filters_filters_rows ... ok
test pipeline::builder::tests::test_apply_filters_empty_batch ... ok
test pipeline::builder::tests::test_apply_filters_no_filters ... ok
test executor::tests::job_handles_sort_by_cost ... ok
test pipeline::builder::tests::test_apply_filters_no_pages_clears_batch ... ok
test pipeline::builder::tests::test_compare_values_boolean_false ... ok
test pipeline::builder::tests::test_build_pipeline_no_filters ... ok
test pipeline::builder::tests::test_compare_values_boolean_gt ... ok
test pipeline::builder::tests::test_build_pipeline_with_filters ... ok
test pipeline::builder::tests::test_compare_values_boolean_true ... ok
test pipeline::builder::tests::test_compare_values_float_gt ... ok
test pipeline::builder::tests::test_compare_values_float_lte ... ok
test pipeline::builder::tests::test_compare_values_gte_float ... ok
test pipeline::builder::tests::test_compare_values_float_scientific ... ok
test pipeline::builder::tests::test_compare_values_integer_gt ... ok
test pipeline::builder::tests::test_compare_values_integer_lt ... ok
test pipeline::builder::tests::test_compare_values_integer_negative ... ok
test pipeline::builder::tests::test_compare_values_integer_eq ... ok
test pipeline::builder::tests::test_compare_values_integer_vs_float ... ok
test pipeline::builder::tests::test_compare_values_large_numbers ... ok
test pipeline::builder::tests::test_compare_values_not_eq_integer ... ok
test pipeline::builder::tests::test_compare_values_mixed_numeric_string ... ok
test pipeline::builder::tests::test_compare_values_string_eq ... ok
test pipeline::builder::tests::test_compare_values_string_fallback ... ok
test pipeline::builder::tests::test_compare_values_zero_comparisons ... ok
test pipeline::builder::tests::test_datetime_common_format_mdy ... ok
test pipeline::builder::tests::test_datetime_iso_date_comparison ... ok
test pipeline::builder::tests::test_datetime_leap_year ... ok
test pipeline::builder::tests::test_datetime_iso_timestamp_comparison ... ok
test pipeline::builder::tests::test_datetime_unix_timestamp ... ok
test pipeline::builder::tests::test_duration_compact_format ... ok
test pipeline::builder::tests::test_duration_complex_compact ... ok
test pipeline::builder::tests::test_duration_days_vs_hours ... ok
test pipeline::builder::tests::test_duration_simple_format ... ok
test pipeline::builder::tests::test_duration_weeks ... ok
test pipeline::builder::tests::test_eval_expr_eq_matches ... ok
test pipeline::builder::tests::test_eval_expr_gt_lexicographic ... ok
test pipeline::builder::tests::test_eval_expr_gte ... ok
test pipeline::builder::tests::test_eval_expr_lt ... ok
test pipeline::builder::tests::test_eval_expr_lte ... ok
test pipeline::builder::tests::test_eval_expr_not_eq ... ok
test pipeline::builder::tests::test_eval_expr_unsupported_returns_true ... ok
test pipeline::builder::tests::test_eval_expr_unsupported_right_side ... ok
test pipeline::builder::tests::test_eval_filter_and_both_true ... ok
